      FIPS Admin2  Province_State  ... Recovered Active           Combined_Key
2968   NaN    NaN           Anhui  ...       985      0           Anhui, China
2971   NaN    NaN         Beijing  ...       574     10         Beijing, China
2978   NaN    NaN       Chongqing  ...       573      0       Chongqing, China
2986   NaN    NaN          Fujian  ...       354      1          Fujian, China
2987   NaN    NaN           Gansu  ...       137      0           Gansu, China
2994   NaN    NaN       Guangdong  ...      1579      2       Guangdong, China
2995   NaN    NaN         Guangxi  ...       252      0         Guangxi, China
2996   NaN    NaN         Guizhou  ...       145      0         Guizhou, China
2997   NaN    NaN          Hainan  ...       162      0          Hainan, China
2998   NaN    NaN           Hebei  ...       321      1           Hebei, China
2999   NaN    NaN    Heilongjiang  ...       930      2    Heilongjiang, China
3000   NaN    NaN           Henan  ...      1254      0           Henan, China
3001   NaN    NaN       Hong Kong  ...      1008     38       Hong Kong, China
3002   NaN    NaN           Hubei  ...     63616      6           Hubei, China
3003   NaN    NaN           Hunan  ...      1015      0           Hunan, China
3004   NaN    NaN  Inner Mongolia  ...       190     18  Inner Mongolia, China
3006   NaN    NaN         Jiangsu  ...       653      0         Jiangsu, China
3007   NaN    NaN         Jiangxi  ...       936      0         Jiangxi, China
3008   NaN    NaN           Jilin  ...       108     25           Jilin, China
3009   NaN    NaN        Liaoning  ...       144      3        Liaoning, China
3010   NaN    NaN           Macau  ...        43      2           Macau, China
3019   NaN    NaN         Ningxia  ...        75      0         Ningxia, China
3027   NaN    NaN         Qinghai  ...        18      0         Qinghai, China
3036   NaN    NaN         Shaanxi  ...       297      8         Shaanxi, China
3037   NaN    NaN        Shandong  ...       777      4        Shandong, China
3038   NaN    NaN        Shanghai  ...       633     20        Shanghai, China
3039   NaN    NaN          Shanxi  ...       198      0          Shanxi, China
3040   NaN    NaN         Sichuan  ...       558      0         Sichuan, China
3045   NaN    NaN         Tianjin  ...       187      1         Tianjin, China
3046   NaN    NaN           Tibet  ...         1      0           Tibet, China
3051   NaN    NaN        Xinjiang  ...        73      0        Xinjiang, China
3053   NaN    NaN          Yunnan  ...       183      0          Yunnan, China
3054   NaN    NaN        Zhejiang  ...      1267      0        Zhejiang, China
